"GEO_ID","NAME","B01003_001M","B01003_001E",
"Geography","Geographic Area Name","Margin of Error!!Total","Estimate!!Total",
"1600000US0100100","Abanda CDP, Alabama","38","43",
"1600000US0100124","Abbeville city, Alabama","26","2740",
"1600000US0100460","Adamsville city, Alabama","21","4599",
"1600000US0100484","Addison town, Alabama","302","914",
"1600000US0100676","Akron town, Alabama","211","513",
"1600000US0100820","Alabaster city, Alabama","59","29550",
"1600000US0100988","Albertville city, Alabama","63","20445",
"1600000US0101132","Alexander City city, Alabama","28","14879",
"1600000US0101180","Alexandria CDP, Alabama","426","3745",
"1600000US0101228","Aliceville city, Alabama","431","3101",
"1600000US0101396","Allgood town, Alabama","252","715",
"1600000US0101660","Altoona town, Alabama","166","737",
"1600000US0101708","Andalusia city, Alabama","29","8998",
"1600000US0101756","Anderson town, Alabama","156","354",
"1600000US0101852","Anniston city, Alabama","36","23297",
"1600000US0102116","Arab city, Alabama","56","7928",
"1600000US0102260","Ardmore town, Alabama","231","1167",
"1600000US0102320","Argo town, Alabama","67","3770",
"1600000US0102428","Ariton town, Alabama","180","995",
"1600000US0102500","Arley town, Alabama","206","536",
"1600000US0102836","Ashford town, Alabama","221","1931",
"1600000US0102860","Ashland town, Alabama","889","2637",
"1600000US0102908","Ashville city, Alabama","413","2053",
"1600000US0102956","Athens city, Alabama","33","21059",
"1600000US0103004","Atmore city, Alabama","28","10008",
"1600000US0103028","Attalla city, Alabama","32","6143",
"1600000US0103076","Auburn city, Alabama","49","51057",
"1600000US0103220","Autaugaville town, Alabama","162","615",
"1600000US0103364","Avon town, Alabama","126","441",
"1600000US0103508","Axis CDP, Alabama","357","835",
"1600000US0103556","Babbie town, Alabama","211","682",
"1600000US0103676","Baileyton town, Alabama","176","543",
"1600000US0103724","Bakerhill town, Alabama","127","330",
"1600000US0103820","Ballplay CDP, Alabama","458","2118",
"1600000US0103940","Banks town, Alabama","108","301",
"1600000US0104660","Bay Minette city, Alabama","32","8052",
"1600000US0104684","Bayou La Batre city, Alabama","43","2611",
"1600000US0104852","Bear Creek town, Alabama","296","1123",
"1600000US0104900","Beatrice town, Alabama","170","464",
"1600000US0104948","Beaverton town, Alabama","57","153",
"1600000US0105140","Belgreen CDP, Alabama","96","78",
"1600000US0105164","Belk town, Alabama","90","211",
"1600000US0105188","Bellamy CDP, Alabama","388","712",
"1600000US0105212","Belle Fontaine CDP, Alabama","257","738",
"1600000US0105692","Benton town, Alabama","32","40",
"1600000US0105932","Berry town, Alabama","227","1126",
"1600000US0105980","Bessemer city, Alabama","35","27824",
"1600000US0106460","Billingsley town, Alabama","81","131",
"1600000US0107000","Birmingham city, Alabama","336","216392",
"1600000US0107120","Black town, Alabama","75","232",
"1600000US0107456","Blountsville town, Alabama","288","1584",
"1600000US0107588","Blue Ridge CDP, Alabama","290","1451",
"1600000US0107672","Blue Springs town, Alabama","36","82",
